
2024/12/09 (10:00:42) | ===> btop++ v.1.4.0
2024/12/09 (10:00:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/09 (10:00:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (17:17:31) | ===> btop++ v.1.4.0
2024/12/09 (17:17:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/09 (17:17:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (09:02:50) | ===> btop++ v.1.4.0
2024/12/10 (09:02:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/10 (09:02:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (15:09:49) | ===> btop++ v.1.4.0
2024/12/11 (15:09:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/11 (15:09:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (21:21:20) | ===> btop++ v.1.4.0
2024/12/13 (21:21:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (21:21:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (08:28:14) | ===> btop++ v.1.4.0
2024/12/14 (08:28:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (08:28:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (16:08:03) | ===> btop++ v.1.4.0
2024/12/14 (16:08:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (16:08:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (16:10:10) | ===> btop++ v.1.4.0
2024/12/14 (16:10:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (16:10:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (09:23:23) | ===> btop++ v.1.4.0
